classID,CRN,courseID,sectionNo,classDay,timing,staffID
CLS100,183726,INFO1111,S10,Monday,10:00:00,STF104
CLS101,294817,INFO1112,S11,Tuesday,13:00:00,STF104
CLS102,582910,INFO1113,S15,Wednesday,16:00:00,STF105
CLS103,712394,MATH1111,S20,Thursday,19:00:00,STF100
CLS104,845601,MATH1112,S21,Friday,10:00:00,STF107
CLS105,392184,BUSI1111,S30,Monday,13:00:00,STF102
CLS106,261759,BUSI1112,S31,Tuesday,16:00:00,STF106
CLS107,407825,PHIL1111,S40,Wednesday,19:00:00,STF101
CLS108,978312,HIST1111,S50,Thursday,10:00:00,STF103
CLS109,610247,HIST1112,S51,Friday,13:00:00,STF103
